Key,English,Japanese
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.",カメラビューを変更するには、右クリックを押しながらマウスを移動する（新しいバージョン）か、ホイールボタン（古いバージョン）をクリックして矢印キーを使用します。
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.",スペースキーを押すとジャンプをします。また、飛行時に押すと前進/停止します。
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,20レベル以上から職業に関係なく飛行可能になります。飛行アイテムは各街の｢ステーション｣NPCから購入できます。
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.",生命力（HP）が不足した場合には、モーションの「座る」をすると効率よく回復できます。多少の時間はかかりますがペニャは節約になります。
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.",死亡した場合、一番近くの街へ戻る時は[ロードスター]で復活するか、その場で復活したい時は[リザレクション]スキルで復活させてもらう、もしくは、プレミアムアイテムの｢復活の巻物｣を所持していればその場で復活が可能です。
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.",フード、魔力ドリンク、 スタミナドリンクのようなHP、MP、FPを回復させるアイテムには治療量があります。自分のHP、MP、FPの最大値を確認して、適切なアイテムを使用し、効果を最大限に発揮させるのが重要です。
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.",レベルが15になったら、1次転職をしましょう。1次転職が完了するまで経験値は溜まらないので注意してください。
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,ターゲッティングをキャンセルしたい時は[ESC]キーを押してください。
CLIENT_TIP_INC_000008,Troupe means Party.,パーティです。
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.",スキルはスキルウィンドウ(短縮キー[K]キー)からスキルをドラッグ＆ドロップで画面下部の[F1]～[F10]のスロットに登録後、対応キーを押して使用してください。連続でスキルを使用したい場合は、その右側の「アクションスロット」にスキルを登録して[C]キーでスキル使用が可能です。
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,アクションスロットには特定の組み合わせでしか登録することができないスキルもあります。例えば[ブランディッシュ]スキルを使う場合は、[クリーンヒットスキル]を先に登録する必要があります。アクションスロットにスキルを登録できない場合はアイコンの形をよく確認してみてください。
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.",他のｷｬﾗｸﾀｰを[Alt]キーを押しながら左クリックをすると出るメニューで｢追尾｣を選択すると相手についていくことができます。
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.",[Alt]キーを押しながら相手を左クリックするとパーティー、メッセンジャー、追尾などの機能が使用できます。
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,[X]キーを押すと歩くモードに変更されます。再度[X]キーを押すと走るモードに変更されます。
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,モンスターをダブルクリックすると攻撃します。オプション画面の[ゲーム]タブにある[シングルクリックで攻撃]を有効にすると、シングルクリックでも攻撃できるようになります。また、[オートアタック]を有効にしておくと、通常攻撃を自動的に継続します。
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,ゲーム内通貨「ペニャ」をオンライン上で販売または購入することは、当社のポリシーに違反します。 ペニャをオンラインで購入すると、アカウントが危険と判断され、罰せられる可能性があります。
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,アカウントの共有、譲渡、または販売は当社のポリシーに違反します。 違反があった場合、関連するアカウントが完全に停止される可能性があります。
