Key,English,Japanese
PROPQUEST_SCENARIO_INC_000299,Prologue,～序章～
PROPQUEST_SCENARIO_INC_000304,Questioning,隠された歴史の謎
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?",うーん、これは一体どういうことなのかしら…。あら！あなたはいつからそこにいたの？考え事をしていて全然気が付かなかったわ、ごめんなさい。
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.",最近、悩み事だらけで・・・悩みすぎて肌が荒れてきちゃったくらいです。ふふふ。ちょうどよかった、ちょっと手伝ってもらいたいことがあるのですが、よろしいでしょうか？
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?",私は新しい歴史の研究をしている歴史学者なのですが、これが本当に大変な作業なんです。そこであなたにお願いしたいことがあるんです。力を貸してくださいませんか？
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,ありがとうございます。では今からシティホールに行って＜研究費用の申請書＞を作成したら、それを市長に渡してください。お願いしますね。
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,あら…お忙しいようですね、残念です。簡単な頼みごとですので、お手伝いしてくださる時間ができたら、また来てくださいな。
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.",申請書ですか？マルティニークもずいぶん忙しいようですね、冒険者の方にお願いするなんて。はい、わかりました。研究費用はすぐ支給されるはずです、とお伝えください。宜しくお願いします。
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,何かご用でしょうか？はい、申請書ですね。それならシティホールの右側に置いてありますよ。
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,シティホールに行って＜研究費用の申請書＞を作成し、それを市長に渡しにいこう。
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,暗殺者の影
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.",研究費はちゃんといただきました、ありがとう。これで安心して研究が進められます。あの…まだ、誰にも話してないことですが…ええ、信じてくださらない方もいるでしょうけど…。実は、今のマドリガルの歴史に関する資料は、全て歪曲されているのです。
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,マドリガルの歴史を詳しく調べると、おかしなところがたくさんあるんです。でも、マドリガル歴史協会は矛盾点を知っているにも関わらず、修正しようとしないのです。私はそれが何だか気になって…それで一人でいろいろ調べてみたのです。
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,調査を始めて少し経った頃でしょうか…恐ろしいことに、ある日私は何者かによって命を狙われそうになりました。何となくそれが、私の調べている歴史の事に関係しているような気がしてならないのです。何か私の知らない大きな力が動いているような…
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.",マドリガルの真の歴史を必ず突き止めなければなりません。手伝ってもらえますか？ただし、あなたにとって大きな危険が伴うかもしれません。
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,マドリガルの真実を知るため、そして正義のために。どうかお願いします。
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.",ありがとうございます、とても心強いです。さて、マドリガルに存在する３つの大陸には古代のものと思われる、奇妙で神秘的な祭壇があります。そこにある＜岩石の欠片＞を5個づつ集めてきてくれませんか？それぞれの大陸ごとに、5個づつです。宜しくお願いしますね。
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,そうですか。命をかけるほどの問題ではない、ということですね？ご理解いただけないのは仕方ないです。話だけでも聞いてくれてありがとう。
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,なるほど。やはり私の考えと一致しているようです。もっと多くの調査を行わないと、詳しいことはわかりませんが…。どうもありがとうございます。あ！それと…
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.",これからは気をつけてください。何をって？私を狙っていた暗殺者が今度はあなたを狙うかもしれませんから。あなたのような強い人なら、心配するようなことはないかもしれませんが。どうぞ、お気をつけて。
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!",フラリス、ダーコン、セイントモーニング、それぞれ3つの大陸に散らばる＜岩石の欠片＞を各5個づつ集めてきてください。お願いします。
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,フラリス、ダーコン、セイントモーニングの3大陸に散らばる＜岩石の欠片＞を各5個づつ集めてこよう。それらは祭壇と呼ばれる場所の近くで見つかるそうだ。
PROPQUEST_SCENARIO_INC_000327,Plot Begins,隠された秘密を追って
