Key,English,Japanese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,医療関係者が負傷者を治療する包帯を作るために、材料である$QUEST_END_ITEM_NAME$の収集を依頼しました。 依頼を受け付けますか？
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,マドリガル製薬からグルバンドエージ45個を依頼された。
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,ドワーフたちの夜間作業のため、アンペア45個を集めよう。
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,マドリガル製薬ではこの度、胃腸に優しく効き目は早く、しかも水なしで飲める、眠くならない鎮痛剤の開発に着手するそうです。この材料となるブーポッシュ50個を依頼しました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,$QUEST_END_ITEM_NAME$を集めよう。
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,森林を守るため、木材にかわる資材としてローティーが注目されています。早速シティホールからローティー55個を依頼されました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,$QUEST_END_ITEM_NAME$はすべての種類の$QUEST_END_ITEM_MON$から収集可能です。
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,$QUEST_END_ITEM_NAME$は$QUEST_END_ITEM_MON$から収集可能です。
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,$QUEST_END_ITEM_NAME$はフラリスから北に進んだ橋の近くで集まるでしょう。
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,謎の印はヴァンのいる地域で収集することができます。
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,ジャイアントニャングニャングが出没する地域で収集することができます。ジャイアントニャングニャングの大好物なのです。
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,シティホールの書類はミーアの棲息地の辺りで収集することができます。
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,依頼をキャンセルなさるのですね。あなたならお願い出来ると思ったのですが、残念です。
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,$QUEST_END_ITEM_NAME$個が足りません。
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,$QUEST_END_ITEM_NAME$個が足りません。
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,見事に依頼を成し遂げましたね。お疲れ様です。さあ、依頼の報酬をお受け取りください。
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,依頼を達成されましたね。さすがです！どうぞ報酬をお受け取り下さい。
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$は依頼の完了を喜び、依頼の書かれた書類に完了のサインをした。
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$は依頼の完了を喜び、依頼の書かれた書類に完了のサインをした。
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$は依頼の完了を喜び、依頼の書かれた書類に完了のサインをした。
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,イスのバーベキューパーティー
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,バーベキューパーティーでお肉を焼くための材料であるチュピムの収集の依頼がありました。依頼を受け付けますか?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,イスが肉パーティーを開くために肉を焼くことができる材料であるチュピムの収集を依頼した。
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),不思議な現象 －前編－
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,フラリファンから謎の手紙収集の依頼がありました。依頼を受け付けますか？
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,フラリスの北の橋の近くで$QUEST_END_ITEM_NAME$の収集を依頼した。 橋を渡る前に周辺の地面を探してみましょう。
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,フラリファンから謎の印集めの依頼がありました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,ボードの材料集め
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,ディオールから、ホバー・ボードの大量生産のためにボードの材料であるピーキーリンドの収集依頼がありました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,ディオールがホバーボードの大量生産のためにボードの材料であるピッキーラインドの収集を依頼した。
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,子供たちへのプレゼント
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,迷子センターのザロストから、子供たちへのプレゼントにデミアンの持つダディーベアを集めて欲しいとの依頼がありました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,子供たちのプレゼントの為、3つのデミアン人形モップを集めてほしいと言っています。
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,ワンドの材料集め
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,マドリガル・マジシャン・マスター連合から、ワンドの頭に付ける宝石を製造するためにポポラム収集の依頼がありました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,マドリガル・マジシャン連合で新たなワンドの宝石製造のためにポポラム４つの収集を依頼した。
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",クッキー製造機「バリンバゲット」
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,バリンから、クッキー製造機の燃料に必要な勾玉の収集の依頼がありました。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,ラーウルフたちから、勾玉10個を集めて、依頼所のミキエルに渡しましょう。
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,魔法の筆記具タブラン
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,ミュールが新しい小説を書くための魔法のペン「タブラン」の材料であるタリンの根を探しています。依頼を受けますか？
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,ミュールが新しい小説を書くために必要なペンを製作できるタリンの根収集を依頼した。
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,ニャングラタン
