Key,English,Japanese
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,戦闘姿勢の開始/解除
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,座り/立ち
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,物を拾う
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,握手のフリをする
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,頭を傾ける
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,うなずく（肯定的表現）
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,手を振る（否定的表現）
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,走るフリをする
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,休め
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,気をつけ
PROPMOTION_TXT_000020,Scissors,チョキ
PROPMOTION_TXT_000021,Scissors,チョキ
PROPMOTION_TXT_000022,Rock,グー
PROPMOTION_TXT_000023,Rock,グー
PROPMOTION_TXT_000024,Paper,パー
PROPMOTION_TXT_000025,Paper,パー
PROPMOTION_TXT_000026,North,北へ向かおう！
PROPMOTION_TXT_000027,Point North,北の方向を指します
PROPMOTION_TXT_000028,South,南へ向かおう！
PROPMOTION_TXT_000029,Point South,南の方向を指します
PROPMOTION_TXT_000030,East,東へ向かおう！
PROPMOTION_TXT_000031,Point East,東の方向を指します
PROPMOTION_TXT_000032,West,西へ向かおう！
PROPMOTION_TXT_000033,Point West,西の方向を指します
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,片ひざをつきます
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,腕立て伏せをします
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,からかいます
PROPMOTION_TXT_000040,Pow!,えいっ！
PROPMOTION_TXT_000041,Punch,気合を入れます
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,頭を地につけて伏せます
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,武器を掲げます
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,資源を採集します
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),一番近い町に移動します（5分後に移動します。使用回数に制限はありません。）
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,他ユーザを応援します
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,選択されたターゲットを攻撃します。
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,選択した相手に告白します。
PROPMOTION_TXT_000057,Toggle Weapons,武器の切り替え
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,召喚中のペットスキルを使用します
PROPMOTION_TXT_000059,Follow the Selected Target,選択したターゲットを追跡する
PROPMOTION_TXT_000060,Switch Your Current Stat Page,現在のステータスページの切り替え
PROPMOTION_TXT_000061,Play Dead,死んだふりをする
PROPMOTION_TXT_000062,Propose,プロポーズする
PROPMOTION_TXT_000063,High Five (Couple),ハイタッチする（カップル）
PROPMOTION_TXT_000064,Hug (Couple),ハグする（カップル）
PROPMOTION_TXT_000065,Half Heart (Couple),ハートを作る（カップル）
PROPMOTION_TXT_000066,Frustrated,いらだつ
PROPMOTION_TXT_000067,Cross Arms (Couple),腕を組む（カップル）
PROPMOTION_TXT_000068,Eye Contact (Couple),見つめ合う（カップル）
PROPMOTION_TXT_000069,Jump (Couple),ジャンプする（カップル）
PROPMOTION_TXT_000070,Dance 1,ダンス1
PROPMOTION_TXT_000071,Dance 2,ダンス2
PROPMOTION_TXT_000072,Dance 3,ダンス3
PROPMOTION_TXT_000073,Dance 4,ダンス4
PROPMOTION_TXT_000074,Dance 5,ダンス5
PROPMOTION_TXT_000075,Dance 6,ダンス6
PROPMOTION_TXT_000076,Dance 7,ダンス7
PROPMOTION_TXT_000077,Dance 8,ダンス8
PROPMOTION_TXT_000078,Dance 9,ダンス9
PROPMOTION_TXT_000079,Meditation,瞑想する
PROPMOTION_TXT_000080,Flip Jump 1,宙返り1
PROPMOTION_TXT_000081,Flip Jump 2,宙返り2
PROPMOTION_TXT_000082,Lift O,「○」を掲げる
PROPMOTION_TXT_000083,Lift X,「×」を掲げる
PROPMOTION_TXT_000084,Lift Rock,「グー」を掲げる
PROPMOTION_TXT_000085,Lift Paper,「パー」を掲げる
PROPMOTION_TXT_000086,Lift Scissors,「チョキ」を掲げる
PROPMOTION_TXT_000087,Dance 10,ダンス10
PROPMOTION_TXT_000088,Dance 11,ダンス11
PROPMOTION_TXT_000089,Polite Greeting,丁寧に挨拶する
PROPMOTION_TXT_000090,Hurray,万歳する
PROPMOTION_TXT_000100,Clap,拍手する
PROPMOTION_TXT_000101,Brrr,寒さに震える
PROPMOTION_TXT_000102,Dance 12,ダンス12
PROPMOTION_TXT_000103,Hot,暑がる
PROPMOTION_TXT_000104,LMAO,大爆笑する
PROPMOTION_TXT_000105,Ninja,忍者になる
PROPMOTION_TXT_000106,Aha,ひらめく
PROPMOTION_TXT_000107,Provoke,挑発する
PROPMOTION_TXT_000108,Surprised,驚く
PROPMOTION_TXT_000109,Look Around,周りを見渡す
PROPMOTION_TXT_000110,Arm Heart,腕でハートを作る
PROPMOTION_TXT_000111,Switch Your Current Skill Page,現在のスキルページの切り替え
PROPMOTION_TXT_000112,Surrender,降参する
PROPMOTION_TXT_000113,Begging,懇願する
PROPMOTION_TXT_000114,Waist Stretching,腰のストレッチをする
PROPMOTION_TXT_000115,Lower Body Stretching,下半身のストレッチをする
PROPMOTION_TXT_000116,Thumbs Up,サムズアップする
PROPMOTION_TXT_000117,Salute,敬礼する
PROPMOTION_TXT_000118,Concerned,心配する
PROPMOTION_TXT_000119,Embarassed,恥ずかしがる
