Key,English,Japanese
MMI_0,Dialog,ダイアログ
MMI_1,Quest,クエスト
MMI_2,Trade,取引
MMI_3,Attack,攻撃力
MMI_4,Message,メッセージ
MMI_5,Add to my list,メッセンジャーに追加
MMI_6,Invite to join party,パーティーへ招待
MMI_7,Invite to join guild,ギルドへ招待
MMI_8,Place of Resurrection,復活場所に設定
MMI_9,Bank,銀行/倉庫
MMI_10,Duel,デュエル
MMI_11,Request party duel,パーティーデュエルを申請
MMI_12,Follow,追尾
MMI_13,Beauty Shop,ビューティーショップ
MMI_14,Repair,修理
MMI_15,Guild Bank,ギルド倉庫
MMI_16,Guild Rankings,ギルドランキング
MMI_17,Guild Duel Rankings,ギルド戦ランキング
MMI_18,Guild Statistics Rankings,ギルド戦 総合ランキング
MMI_21,Register Bounty,懸賞金懸け
MMI_22,Bounty List,指名手配リスト
MMI_24,View equipment,装備を見る
MMI_25,Mailbox,ファン･ポスト
MMI_26,Apply,適用
MMI_27,Status,ステータス
MMI_28,Cancel,キャンセル
MMI_29,Enter,参加
MMI_30,Ranking,ランキング
MMI_31,Cheer,応援
MMI_32,Remove piercing card,ソケット効果の削除
MMI_33,Lineup Setup,エントリー
MMI_34,Claim Guild Penya,賞金・申請金の受け取り
MMI_35,Reward Information,賞金情報
MMI_36,Claim MVP Penya Reward,MVP褒賞金の受取り
MMI_37,Participation Information,参加案内
MMI_38,Basic Rules,レギュレーション
MMI_39,Winning Conditions,勝利条件
MMI_40,Application Fee Information,手数料の情報
MMI_41,The refund of application fee,申請料の返金
MMI_42,Cosmetic Upgrades,メイクショップ
MMI_44,Rock-Paper-Scissors,じゃんけん
MMI_49,Pet State,ペットステータス
MMI_50,Un-summon pet,ペットを戻す
MMI_51,Create Shining Power Dice,輝くパワーダイスを作成する
MMI_53,Create Jewels,宝石を作る
MMI_54,Create Unique Weapon,ユニークウェポンを作成する
MMI_59,Remove Element,要素の削除
MMI_71,Remove Level Reduction,装備レベル減少の取り消し
MMI_74,Get Buffed!,バフをゲットだぜ！
MMI_75,Exchange Rare Item Pieces,レアアイテムや欠片の交換
MMI_76,Exchange Card Pieces,カード欠片の交換
MMI_79,Remove Premium Item Blessing,プレミアムアイテムの祝福を解除
MMI_80,Enter Arena,アリーナに入る
MMI_81,Leave Arena,アリーナから出る
