Key,English,Japanese
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,アイバットを退治して輝く石を集めよう。
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,[マジシャン訓練所_助手]ロパスに伝達しよう。
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,[アクロバット訓練所_助手]タイラーに伝達しよう
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,セイントモーニングの南にあるイブリス神殿の付近にいるレンを退治しよう
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,シシフを退治して英雄の封魂石を手に入れよう。
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,ヴェネル・ガーディアンを退治してヴェネルハートを手に入れよう。
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,ルボを退治してハイナンの手紙を手に入れよう。
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,プランクスターを退治して英雄大全集を手に入れよう。
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,ヘレンのイヤリングをフラリスのアタに届けよう。
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,毒王カレビアンを退治して暗黒の涙を手に入れよう。
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,盗掘師モモガンを退治して黄金ヘルメットの手がかりを探そう。
QUEST_DESTINATION_0018,Meet Kurumin.,クルミンに会おう。
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,ホイールを退治してソウルストーンを手に入れよう。
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,背信者ヴェスパーを退治して風姿花伝 ～終の巻～を手に入れよう。
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),スチームウォーカーを退治してニーベルン・ポスターを手に入れよう
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,風姿花伝 ～終の巻～をセグホに届けよう。
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,レンを退治してエーエンヌの家紋を手に入れよう。
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,エーエンヌの家紋をフラリスのテサルに届けよう。
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,虚人ウィシュパヌアスを退治してエーエンヌの涙玉石を手に入れよう。
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,美獣ユリシーヌを退治して魔力強化の護符を手に入れよう。
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",魔力強化の護符をリュファンに届けよう。
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.",セイントステーションのパリニーに会って「魔力増加の羽飾り」を渡してください。
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,ダーコン市長に伝達しよう
QUEST_DESTINATION_0032,Defeat Organiger.,オルガニガーを退治しよう。
QUEST_DESTINATION_0033,Defeat Gangard.,ガンガードを退治しよう。
QUEST_DESTINATION_0034,Defeat Hardeser.,ハデュサを退治しよう。
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,ミーアの集団を退治してミーアに関する調査書を手に入れよう。
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,セイントモーニングの市長に会いましょう。
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,赤いヴァン盗賊団のボスを退治しよう。
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,赤いヴァン盗賊団を退治して盗賊団のエンブレムを手に入れよう。
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,ロードヴァンを退治して盗賊団のボスの首飾りを手に入れよう。
QUEST_DESTINATION_0040,Hand it to Strange Collector,謎のコレクターに伝達しよう。
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,レッドマンティスＣを退治してマンティス・エッグを手に入れよう。
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Dr.エスターンのところへ持っていく
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Dr.エストリーのところへ持っていく
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,[ダーコン市長]に伝達しよう
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,[国立歴史協会会長]ゴダンテに伝達しよう
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,[国立図書館_司書]ロバネットに伝達しよう
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,[大魔導師]ラオラに伝達しよう。
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,[歴史学者]マルティニークに伝達しよう。
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,[マーシナリー訓練所_助手]ヒューイットに伝達しよう。
QUEST_DESTINATION_0061,Kill Small Mushpang,スモール・マッシュファングを退治しよう。
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,[アシスト訓練所_助手]キッドマンに伝達しよう。
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,フラリスに住んでいるハカルに伝達しよう。
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,ダーコンに住んでいるハカルに伝達しよう。
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,デェカネス鉱山の前に立っているランカシュからメールを受け取る
QUEST_DESTINATION_0067,Drian exists in the first room,ドリアンはダンジョン内の一番最初の部屋にいる。
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,3番目の部屋のキクン族を退治してキーを獲得しよう。
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,3番目の部屋に移動してネビルが閉じ込められている監獄を確認しよう。
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,3番目の部屋にいるエリートキクンリーダーを退治しよう。
QUEST_DESTINATION_0071,Talk with Nevin in prison,監獄にいるネビルと会話しよう
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,5番目の部屋に存在するローチの卵を割ってピンクローチ水を15個手に入れよう。
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,4番目の部屋に存在するローチの卵を割ってブルーローチ水を15個手に入れよう。
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,5番目の部屋に存在するローチの卵を割ってピンクローチクィーン水を1個手に入れよう。
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,4番目の部屋に存在するローチの卵を割ってブルーローチクィーン水を1個手に入れよう。
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,付近に落ちているシルリン30個を集めよう。
